0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"
S.No.
","
Name
","

                    CMP
                    Rs.

","

                    P/E
                    

","

                    Mar Cap
                    Rs.Cr.

","

                    Div Yld
                    %

","

                    NP Qtr
                    Rs.Cr.

","

                    Qtr Profit Var
                    %

","

                    Sales Qtr
                    Rs.Cr.

","

                    Qtr Sales Var
                    %

","

                    ROCE
                    %

","

                    PEG
                    

","

                    5Yr OPM
                    %

","

                    ROCE 5Yr
                    %

",
1.,/company/CREST/consolidated/,"
Crest Ventures
",417.50,18.98,1187.78,0.23,12.30,32.83,51.61,94.31,58.63,0.57,71.50,17.02
2.,/company/WSTCSTPAPR/consolidated/,"
West Coast Paper
",665.40,5.10,4394.99,1.53,158.77,-48.46,1045.13,-15.66,52.89,0.15,24.47,25.24
3.,/company/ANDHRAPAP/,"
Andhra Paper
",521.40,4.46,2073.62,2.40,82.47,-51.54,476.58,-16.52,51.95,0.11,24.18,27.96
4.,/company/SESHAPAPER/consolidated/,"
Seshasayee Paper
",334.00,6.37,2106.50,1.81,68.98,-38.17,473.47,-14.81,36.53,0.24,20.36,22.88
5.,/company/PANAMAPET/consolidated/,"
Panama Petrochem
",345.70,11.31,2091.25,2.32,41.36,-17.53,511.83,-10.63,34.93,0.37,11.70,27.79
6.,/company/JKPAPER/consolidated/,"
JK Paper
",373.30,5.61,6323.82,2.16,236.36,-28.61,1706.22,3.84,28.46,0.15,27.28,19.71
7.,/company/CLSEL/,"
Chamanlal Setia
",224.15,8.94,1159.61,0.43,38.69,3.28,400.07,13.05,26.18,0.38,10.85,23.53
8.,/company/GNFC/,"
G N F C
",615.60,13.06,9045.69,4.89,95.00,-70.68,2088.00,-21.89,22.89,0.98,19.06,19.24
9.,/company/532468/consolidated/,"
Kama Holdings
",2652.00,11.35,8510.40,1.26,254.64,-52.43,3075.83,-12.20,22.88,0.29,23.31,18.19
10.,/company/GRINFRA/consolidated/,"
G R Infraproject
",1174.50,9.77,11356.10,0.00,242.88,-25.01,2134.02,-2.64,21.62,0.34,24.07,24.56
11.,/company/SPORTKING/,"
Sportking India
",805.65,13.06,1023.76,0.00,13.80,-23.50,598.70,16.73,18.32,0.25,16.60,22.69
12.,/company/LTFOODS/consolidated/,"
L T Foods
",174.20,10.52,6049.13,0.56,152.65,58.69,1941.73,9.18,17.09,0.43,10.83,14.05
13.,/company/CHAMBLFERT/consolidated/,"
Chambal Fert.
",352.65,11.55,14677.56,2.12,459.40,41.83,4348.57,-47.58,16.05,0.74,12.28,17.16
14.,/company/IOLCP/,"
IOL Chemicals
",391.00,13.31,2295.37,1.29,23.23,-3.81,520.39,-0.59,13.66,0.35,20.71,42.16
15.,/company/EKC/consolidated/,"
Everest Kanto
",146.10,13.48,1639.34,0.47,36.49,5928.58,329.46,28.50,11.94,0.38,16.68,16.43
